248672|01000003|01|01000003|99||12339724|4|7.32||29.28
248672|01000003|01|01000003|99||BN000147|1|0||0
248672|01000003|01|01000003|99||12266894|1|25.5||25.5
248672|01000003|01|01000003|99||12291834|1|25.08||25.08
248672|01000003|01|01000003|99||12323614|1|22||22
248672|01000003|01|01000003|99||12342970|1|22.37||22.37
248672|01000003|01|01000003|99||12374032|1|6||6
248672|01000003|01|01000003|99||12330319|2|5.41||10.82
248673|01000004|01|01000004|99||12340511|1|16.01||16.01
248674|01000005|01|01000005|99||12262529|1|5||5
248674|01000005|01|01000005|99||12266894|1|25.5||25.5
248674|01000005|01|01000005|99||12291834|1|25.08||25.08
248674|01000005|01|01000005|99||12302494|1|15.46||15.46
248674|01000005|01|01000005|99||12370836|1|26.68||26.68
248674|01000005|01|01000005|99||12180615|5|2.92||14.6
248674|01000005|01|01000005|99||12307075|1|7.33||7.33
248674|01000005|01|01000005|99||12330319|2|5.41||10.82
248674|01000005|01|01000005|99||12357039|2|1.57||3.14
248674|01000005|01|01000005|99||12380801|1|5.12||5.12
248674|01000005|01|01000005|99||22357040|1|||
248675|01000006|01|01000006|99||12276820|1|16.96||16.96
248675|01000006|01|01000006|99||12291834|1|25.08||25.08
248675|01000006|01|01000006|99||12323614|1|22||22
248675|01000006|01|01000006|99||12307075|1|7.33||7.33
248675|01000006|01|01000006|99||12330319|2|5.41||10.82
248675|01000006|01|01000006|99||12357039|6|1.57||9.42
