262791|000020|01|01008424|99|001|41.67|20190806084609||-12.056005|-77.0351583|001
262792|000020|01|01003089|99|001|25.5|20190806085248||-12.0548582|-77.0355775|001
262793|000006|01|01000396|99|001|47.5|20190806090929||-12.0594872|-77.0426072|001
262794|000005|01|01003064|99|001|40.21|20190806092245||-12.0393267|-77.0487667|001
262795|000010|01|01000473|99|001|186.68|20190806092255||-12.0497883|-77.0342967|001
262796|000020|01|01002482|99|001|122.86|20190806092727||-12.0533715|-77.0343436|001
262797|000010|01|01008313|99|001|137.64|20190806093152||-12.0483633|-77.0360117|001
262798|000005|01|01000656|99|001|49.28|20190806093213||-12.0404333|-77.0500233|001
262799|000009|01|01000430|99|001|47.08|20190806093625||||001
262800|000005|01|01004280|99|001|56.68|20190806093846||-12.0407647|-77.0495751|001
262801|000009|01|01000432|99|001|85.71|20190806094025||-12.055929|-77.053893|001
262802|000005|01|01008278|99|001|32.83|20190806094234||-12.0406282|-77.0487662|001
262803|000010|01|01000468|99|001|142.27|20190806094556||-12.0486283|-77.0362|001
262804|000014|01|01003800|99|001|399.95|20190806094811||-12.0470222|-77.0251612|001
262805|000010|01|01005527|99|001|107.92|20190806094906||-12.0483817|-77.036455|001
262806|000009|01|01000615|99|001|150.15|20190806094928||-12.0590211|-77.0561205|001
262807|000009|01|01000441|99|001|25.5|20190806095118||-12.0595083|-77.05557|001
262808|000019|01|01002970|99|001|24.76|20190806095203||-12.0585244|-77.0328881|001
262809|000005|01|01006182|99|001|157.07|20190806095354||-12.0381333|-77.0499333|001
262810|000008|01|01005224|99|001|32.28|20190806095642||-12.0615187|-77.0462976|001
262811|000012|01|01006337|99|001|30.98|20190806095911||-12.0493267|-77.0285817|001
262812|000007|01|01005244|99|001|178.79|20190806100056||||001
262813|000017|01|01002459|99|001|30.92|20190806100148||-12.0571852|-77.0244954|001
262814|000020|01|01007083|99|001|127.88|20190806100332||-12.0520153|-77.0402694|001
262815|000010|01|01004259|99|001|39.01|20190806100505||-12.0461117|-77.0399483|001
262816|000014|01|01003026|99|001|106.44|20190806100518||-12.0473667|-77.02289|001
262817|000006|01|01007980|99|001|149.48|20190806100724||-12.0544946|-77.0558421|001
262818|000010|01|01008178|99|001|47.08|20190806100910||-12.0459883|-77.04006|001
262819|000011|01|01002962|99|001|39.66|20190806100945||-12.0448074|-77.0387258|001
262820|000019|01|01002971|99|001|43.92|20190806101018||-12.0575517|-77.0333217|001
262821|000006|01|01002370|99|001|84.61|20190806101032||-12.0545045|-77.0557917|001
262822|000005|01|01003793|99|001|135.1|20190806101106||-12.036528|-77.0503403|001
262823|000011|01|01006480|99|001|145.26|20190806101138||||001
262824|000009|01|01000519|99|001|41.09|20190806101143||-12.0585162|-77.0526372|001
262825|000006|01|01008421|99|001|283.07|20190806101210||-12.0545167|-77.056095|001
262826|000011|01|01002449|99|001|175.82|20190806101342||||001
262827|000002|01|01003042|99|001|75.94|20190806101351||||001
262828|000007|01|01006928|99|001|70.72|20190806101413||||001
262829|000010|01|01002323|99|001|57.66|20190806101435||-12.0453633|-77.040665|001
262830|000007|01|01002979|99|001|51.76|20190806101528||||001
262831|000006|01|01002369|99|001|156.62|20190806101614||-12.0546082|-77.0562004|001
262832|000009|01|01002400|99|001|271.54|20190806101720||-12.0581917|-77.0532483|001
262833|000021|01|01005548|99|001|433.29|20190806101728||-12.049725|-77.05032|001
262834|000016|01|01008354|99|001|64.14|20190806101823||-12.0544517|-77.0185183|001
