259516|12291834|1|25.08
259516|12341117|1|24.20
259516|12341298|1|15.26
259516|BN000206|1|0.00
259579|12340511|1|16.01
259611|12338581|1|25.15
259611|12370836|1|26.68
259611|12276821|1|18.33
259611|12266894|1|25.50
259611|12262529|6|30.02
259611|12291834|1|25.08
259611|12302494|1|15.46
259611|12307075|2|14.66
259629|12302494|1|15.46
259629|12330319|3|16.23
259638|12330319|1|5.40
259638|12291834|1|25.08
259638|12180615|3|8.76
259638|12188190|3|9.00
259638|12266894|1|25.50
259651|12323614|1|22.00
259674|12330319|1|5.40
259674|12302494|1|15.46
259674|12276820|1|16.96
259674|12291834|1|25.08
259674|BN000024|1|0.00
259674|BN000206|1|0.00
259674|12341298|1|15.26
259674|12370836|1|26.68
259687|12342970|1|22.37
259687|12340511|1|16.01
259700|12266894|1|25.50
259700|12330319|2|10.82
259702|12291834|1|25.08
259759|12276820|1|16.96
259759|12276821|1|18.33
259759|12291834|1|25.08
259759|12262529|5|25.02
259798|12276821|1|18.33
259798|12325763|1|4.00
259798|12330319|2|10.82
259798|12342970|1|22.37
259798|12370836|1|26.68
259798|12357039|8|12.56
259799|12338581|1|25.15
259799|12340511|1|16.01
259799|BN000205|1|0.00
259799|12291834|1|25.08
259815|12307075|1|7.33
259815|12330319|1|5.40
259833|12330319|1|5.40
259833|12323614|1|22.00
259833|12188190|2|5.99
259833|12342970|1|22.37
259891|12357039|6|9.42
259897|12342970|1|22.37
259897|12370836|1|26.68
259897|BN000211|1|0.00
259897|BN000024|1|0.00
259897|12262529|1|5.00
259897|12276821|1|18.33
259897|12323614|1|22.00
259897|12330319|3|16.23
259897|12302494|2|30.92
259911|12291834|1|25.08
259911|12370836|1|26.68
259911|BN000210|2|0.00
259911|12354527|1|26.95
259911|12340511|1|16.01
259912|12348027|1|17.81
259912|BN000210|2|0.00
259912|12291834|1|25.08
259912|12266894|1|25.50
259914|12291834|1|25.08
259914|12302494|1|15.46
259914|BN000205|1|0.00
259914|BN000024|1|0.00
259955|BN000024|1|0.00
259955|BN000024|1|0.00
259955|12374032|1|25.50
259955|BN000208|3|0.00
259955|BN000211|1|0.00
259955|12340511|1|16.01
259955|12341117|1|24.20
259955|12302494|3|46.37
259955|12291834|2|50.15
259963|12341298|2|30.51
259963|12330319|2|10.82
259963|BN000206|1|0.00
259976|BN000205|1|0.00
259976|12266894|1|25.50
260000|12291834|1|25.08
260000|12302494|1|15.46
260000|12323614|1|22.00
260000|BN000208|3|0.00
260000|BN000024|1|0.00
260000|12370836|1|26.68
260020|12423857|1|21.95
260034|12370836|1|26.68
260034|BN000210|2|0.00
260034|12323614|1|22.00
260034|12291834|1|25.08
