048|12077014|788
048|12162636|371
048|12170794|109
048|12170795|181
048|12180615|1410
048|12188190|300
048|12204872|50
048|12221085|138
048|12227325|686
048|12234462|4893
048|12260258|108
048|12262529|1478
048|12266894|5971
048|12275268|120
048|12276820|2665
048|12276821|572
048|12291834|3837
048|12295077|222
048|12295078|0
048|12302494|756
048|12307075|2035
048|12323614|4508
048|12325763|99
048|12330319|5559
048|12334105|77
048|12338581|108
048|12339724|106
048|12340511|4082
048|12341117|290
048|12341295|0
048|12341298|664
048|12341330|68
048|12342970|601
048|12343058|0
048|12348027|2397
048|12354527|955
048|12357039|23619
048|12365968|183
048|12370836|1701
048|12377462|76
048|12377654|71
048|12380801|1126
048|12381789|4
048|12382642|13
048|12382645|1
048|12382649|48
048|BN000013|1
048|BN000059|2
048|BN000070|6
048|BN000100|1
048|BN000121|1
048|BN000129|3
048|BN000132|64
048|BN000133|1
048|BN000134|0
048|BN000139|0
048|BN000140|2
048|BN000141|5019
048|BN000142|480
048|BN000143|300
048|BN000144|400
048|BN000145|300
048|BN000146|300
048|BN000147|300
048|VADHP0002|0
048|VADHP0003|0
048|VAMAYP072|0
