01000003|000013|1000001
01000004|000013|1000001
01000005|000013|1000001
01000006|000013|1000001
01000008|000012|1000001
01000009|000012|1000001
01000010|000012|1000001
01000011|000012|1000001
01000012|000012|1000001
01000013|000012|1000001
01000014|000006|1000001
01000015|000012|1000001
01000016|000006|1000001
01000017|000006|1000001
01000019|000006|1000001
01000020|000006|1000001
01000021|000006|0000001
01000022|000006|1000001
01000023|000013|1000001
01000024|000016|1000001
01000025|000016|1000001
01000026|000016|1000001
01000027|000001|1000001
01000028|000001|1000001
01000029|000016|1000001
01000030|000001|1000001
01000031|000016|1000001
01000032|000013|1000001
01000033|000013|1000001
01000034|000013|1000001
01000035|000001|1000001
01000036|000001|1000001
01000037|000001|1000001
01000038|000013|1000001
01000039|000001|1000001
01000040|000012|1000001
01000041|000013|1000001
01000042|000014|1000001
01000043|000005|1000001
01000044|000005|1000001
01000045|000014|1000001
01000046|000005|1000001
01000048|000005|1000001
01000049|000005|1000001
01000050|000014|1000001
01000051|000017|1000001
01000053|000017|1000001
01000054|000017|1000001
01000056|000017|1000001
01000060|000017|1000001
01000062|000017|1000001
01000063|000017|1000001
01000064|000017|1000001
01000065|000017|1000001
01000066|000011|1000001
01000068|000011|1000001
01000070|000011|1000001
01000072|000011|1000001
01000074|000011|1000001
01000078|000015|1000001
01000079|000015|1000001
01000081|000015|1000001
01000057|000015|1000001
01000059|000009|1000001
01000061|000006|1000001
01000082|000015|1000001
01000084|000009|1000001
01000085|000009|1000001
01000086|000009|1000001
01000087|000009|1000001
01000088|000006|1000001
01000089|000006|1000001
01000090|000006|1000001
01000091|000006|1000001
01000092|000006|1000001
01000093|000002|1000001
01000094|000014|1000001
01000095|000014|1000001
01000097|000014|1000001
01000098|000008|1000001
01000100|000008|1000001
01000101|000008|1000001
01000103|000008|1000001
01000105|000008|1000001
01000107|000008|1000001
01000067|000015|1000001
01000069|000015|1000001
01000071|000015|1000001
01000073|000015|1000001
01000075|000015|1000001
01000076|000015|1000001
01000077|000011|1000001
01000096|000011|1000001
01000099|000011|1000001
01000102|000008|1000001
01000104|000008|1000001
01000108|000006|1000001
01000109|000018|1000001
01000110|000008|1000001
01000111|000018|1000001
01000112|000018|1000001
01000113|000008|1000001
01000114|000008|1000001
01000115|000003|1000001
01000116|000008|1000001
01000118|000002|1000001
01000119|000002|1000001
01000120|000002|1000001
01000121|000002|1000001
01000122|000013|1000001
01000123|000002|1000001
01000124|000002|1000001
01000126|000002|1000001
01000127|000002|1000001
01000128|000002|1000001
01000130|000013|1000001
01000131|000002|1000001
01000134|000020|1000001
01000137|000013|1000001
01000140|000020|1000001
01000141|000013|1000001
01000142|000020|1000001
01000147|000017|1000001
01000149|000017|1000001
01000151|000004|1000001
01000153|000004|1000001
01000155|000004|1000001
01000156|000004|1000001
01000125|000008|1000001
01000129|000008|1000001
01000132|000018|1000001
01000133|000008|1000001
01000135|000018|1000001
01000138|000018|1000001
01000139|000008|1000001
01000143|000018|1000001
01000144|000018|1000001
01000145|000018|1000001
01000148|000008|1000001
01000150|000015|1000001
01000152|000018|1000001
01000154|000018|1000001
01000157|000018|1001001
01000158|000001|1000001
