294736|12307075|2|14.66
294736|12003780|1|21.66
294736|12354527|2|53.90
294736|12341298|1|15.26
294736|12338581|1|25.15
294736|12374032|1|25.50
294736|12423921|1|26.28
294744|12325763|1|4.00
294744|12302494|1|15.46
294744|12380801|1|5.12
294744|12423463|1|27.18
294744|BN000231|1|0.00
294748|12342970|1|22.37
294748|12266894|1|25.50
294748|12330319|2|10.82
294796|12348027|1|17.81
294796|12341298|1|15.26
294796|12365968|1|21.79
294796|12370836|1|26.68
294796|12423463|1|27.18
294796|BN000231|1|0.00
294796|12330319|1|5.40
294796|12302494|1|15.46
294796|12323614|1|22.02
294850|12302494|2|30.92
294850|12170579|1|15.01
294861|12340511|1|16.01
294861|12342970|2|44.75
294861|12262529|3|15.01
294861|12112702|1|19.86
294861|BN000243|3|0.00
294866|12323614|1|22.02
294866|12262529|2|10.01
294866|12370836|1|26.68
294866|12374032|1|25.50
294866|12276820|1|16.96
294880|12330319|3|16.23
294880|12307075|1|7.33
294880|12302494|3|46.37
294880|12276820|1|16.96
294880|12340511|1|16.01
294880|12423463|1|27.18
294880|12370836|1|26.68
294880|12338581|1|25.15
294880|12276821|1|18.33
294880|12323614|1|22.02
294880|12354527|1|26.95
294881|12266894|1|25.50
294881|12423463|1|27.18
294881|12302494|2|30.92
294881|12276820|1|16.96
294881|12342970|1|22.37
294884|12330319|2|10.82
294884|12302494|2|30.92
294884|12266894|1|25.50
294884|12262529|2|10.01
294884|12341298|3|45.77
294884|12423463|1|27.18
294887|12357039|3|4.71
294887|12302494|1|15.46
294887|12338581|1|25.15
294887|12423463|1|27.18
294889|12341298|2|30.51
294889|12380801|1|5.12
294933|12357039|3|4.71
294933|12323614|1|22.02
294933|12266894|1|25.50
294933|12338581|1|25.15
294949|12330319|1|5.40
294949|12276821|1|18.33
294965|12357039|12|18.83
294965|12423857|1|21.95
294965|CA12262529|3|0.00
295012|12330319|1|5.40
295012|12357039|8|12.56
295012|12323614|1|22.02
295035|12275268|1|4.51
295035|12357039|4|6.28
295035|12112702|2|39.72
295035|12170579|1|15.01
295035|BN000231|3|0.00
295043|12307075|1|7.33
295043|12357039|12|18.83
295043|CA12262529|8|0.00
295045|12330319|1|5.40
295045|12234462|1|7.74
295045|12339724|1|7.32
295064|12330319|5|27.05
295064|12307075|1|7.33
295064|12302494|1|15.46
295064|12323614|1|22.02
295064|12266894|1|25.50
295064|12380801|4|20.48
295064|12423463|1|27.18
295081|12380801|1|5.12
295081|12381789|2|6.10
295081|12423463|1|27.18
295081|12330319|3|16.23
295081|12180615|6|17.52
295081|12276820|1|16.96
